date_work,dot,port,port1,ip,ip1,domain_count,urls_count,click,here,link,suspension,dear,verifyyouraccount,html,w_count,str_count,body_richness,account_count,suspended_count,word_count,@,!,#,%,&,+,-,_,$,*,/,\,contain_account,contain_password,contain_verify,contain_reward,contain_confidentiality,contain_cancel,bank,fw,re,verify,subject_word_count,subject_str_count,subject_richness,upper
0,8,0,0,0,0,2,4,0,0,0,0,0,0,1,98,1258,0.08,0,0,81,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,0.16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,2045,0.16,0,0,220,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,0.19,1
0,18,0,0,14,1,6,22,0,0,0,0,0,0,1,1122,7012,0.16,0,0,386,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,13,101,0.13,1
0,4,0,0,0,0,2,2,0,0,0,0,0,0,1,57,1039,0.05,0,0,55,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0.19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,297,0.15,0,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0.21,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,126,0.01,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,66,0.02,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,4085,0.14,0,0,352,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,34,0.06,1
0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,161,1666,0.1,0,0,137,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0.19,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,323,2051,0.16,0,0,205,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0.25,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,53,1026,0.05,0,0,49,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0.26,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,2049,0.15,0,0,224,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,91,0.13,1
0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,69,505,0.14,0,0,51,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,26,0.19,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,16,150,0.11,0,0,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,33,0.18,1
0,11,0,0,0,0,4,6,0,0,0,0,0,0,1,743,8704,0.09,0,0,313,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,26,0.12,1
0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,93,731,0.13,0,0,39,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,60,0.17,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,90,1189,0.08,0,0,74,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,0.18,0
0,3,0,0,0,0,1,1,0,0,0,0,1,0,1,1371,10399,0.13,0,0,500,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,46,0.17,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,341,1278,0.27,0,0,142,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,37,0.19,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,2050,0.16,0,0,220,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,0.14,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,323,2051,0.16,0,0,205,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,29,0.17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,664,0.17,0,0,87,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0.13,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,53,1026,0.05,0,0,49,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0.26,0
0,11,0,0,0,0,4,6,0,0,0,0,0,0,1,743,8704,0.09,0,0,313,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,26,0.12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1618,0.15,0,0,168,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0.15,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,53,1018,0.05,0,0,49,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,34,0.21,1
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,468,2238,0.21,0,0,205,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,48,0.19,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,140,1764,0.08,0,0,86,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0.17,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,43,295,0.15,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0.2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89,612,0.15,0,0,74,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0.14,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365,1250,0.29,0,0,134,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,24,0.17,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,275,2987,0.09,0,0,127,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0.19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256,1838,0.14,0,0,75,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,53,0.17,1
0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,771,6344,0.12,0,0,302,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,68,0.16,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,19,169,0.11,0,0,19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,34,0.18,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,222,0.12,0,0,25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0.23,1
0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,161,1664,0.1,0,0,137,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,30,0.2,1
1,4,0,0,0,0,2,2,0,0,0,0,0,0,1,57,1052,0.05,0,0,54,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0.19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,427,2934,0.15,0,0,148,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,53,0.17,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,90,1189,0.08,0,0,74,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,0.18,0
0,4,0,0,0,0,2,4,0,0,0,0,0,0,1,42,1774,0.02,0,0,37,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0.03,1
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,305,1017,0.3,0,0,104,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,38,0.18,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,280,1536,0.18,0,0,187,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,90,1191,0.08,0,0,73,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0.2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,2209,0.2,0,0,252,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,33,0.21,1
1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,864,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,62,0.02,1
0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,606,4237,0.14,0,0,324,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,49,0.14,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,294,3090,0.1,0,0,136,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0.19,1
0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,23,7001,0,0,0,19,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,22,0.05,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,31,215,0.14,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,23,0.17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,751,0.31,0,0,88,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,32,0.16,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,40,308,0.13,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,34,0.21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,945,0.16,0,0,120,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0.22,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,81,0.01,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,66,0.02,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0.14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132,1245,0.11,0,0,91,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,748,0.1,0,0,66,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1053,7496,0.14,0,0,250,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,31,0.19,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,818,5620,0.15,0,0,439,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0.17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,580,0.13,0,0,67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0.14,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,233,1493,0.16,2,0,170,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4,25,0.16,0
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1070,11055,0.1,0,0,396,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,0.21,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,346,3477,0.1,0,0,160,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0.2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,308,0.14,0,0,41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0.24,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,566,0.14,0,0,63,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0.15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,2866,0.16,0,0,287,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.25,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,119,974,0.12,0,0,106,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,26,0.15,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,223,1415,0.16,2,0,163,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,5,0.2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0.07,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0.08,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420,1832,0.23,0,0,188,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,48,0.15,1
0,6,0,0,0,0,1,3,0,0,0,0,1,0,1,508,4546,0.11,0,0,256,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,26,0.15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,974,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,102,0.02,1
0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,247,2449,0.1,0,0,143,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,22,0.14,1
0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,140,957,0.15,0,0,108,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18,0.17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,24885,0,0,0,13,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0.13,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,0,0,0,0,2,4,0,0,0,0,0,0,1,42,1774,0.02,0,0,37,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0.03,1
0,6,0,0,0,0,1,3,0,0,0,0,0,0,0,57,1741,0.03,0,0,14,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,58,0.02,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,227,657,0.35,0,0,84,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,53,0.17,1
1,4,0,0,0,0,1,2,0,0,0,0,0,0,1,178,1889,0.09,0,0,151,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,22,0.18,1
0,7,0,0,0,0,2,3,0,0,0,0,1,0,0,145,1204,0.12,0,0,119,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,46,0.15,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,664,0.17,0,0,87,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0.13,1
0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,161,1664,0.1,0,0,137,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,30,0.2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,2049,0.15,0,0,224,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,91,0.13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,2389,0.15,0,0,234,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,98,0.21,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,60,635,0.09,0,0,52,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,57,0.21,1
1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,497,3330,0.15,0,0,313,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,53,0.15,1
0,12,0,0,0,0,4,6,0,0,0,0,0,0,1,743,8866,0.08,0,0,313,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,34,0.15,0
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1070,11055,0.1,0,0,396,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,0.21,1
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,757,3175,0.24,0,0,306,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,37,0.22,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,274,2257,0.12,0,0,214,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0.22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,432,0.12,0,0,32,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,36,0.11,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,89,1182,0.08,0,0,72,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,0.18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,775,4596,0.17,0,0,185,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,53,0.17,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,90,1196,0.08,0,0,74,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,33,0.12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361,1184,0.3,0,0,138,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,27,0.15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,23019,0,0,0,13,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0.13,1
1,3,0,0,0,0,2,2,0,0,0,0,0,0,1,41,4326,0.01,0,0,37,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,52,0.04,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,206,2737,0.08,0,0,123,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,9,0.22,0
1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,273,2091,0.13,0,0,179,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,29,0.14,1
0,3,0,0,0,0,1,1,0,0,0,0,1,0,1,887,10898,0.08,0,0,425,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,42,0.17,1
1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,152,955,0.16,0,0,104,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,32,0.19,0
0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,620,4211,0.15,0,0,180,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,40,0.12,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,53,1012,0.05,0,0,49,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0.26,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,104,0.01,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,74,0.01,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279,995,0.28,0,0,108,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,23,0.13,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,90,1196,0.08,0,0,74,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,33,0.12,0
0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,93,1214,0.08,0,0,76,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,0.25,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,229,428,0.54,0,0,42,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,19,0.16,1
0,4,0,0,0,0,2,2,0,0,0,0,0,0,1,57,1052,0.05,0,0,54,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0.19,1
0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,42,261,0.16,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,19,0.21,0
